# q=  0.10000000E-02  0.10000000E-02  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.78397196E-02      0.00000000E+00     -0.15122983E-04      0.00000000E+00
       2     -0.14732761E-01      0.00000000E+00     -0.24993246E-04      0.00000000E+00
       3     -0.20206532E-01      0.00000000E+00     -0.36202389E-04      0.00000000E+00
       4     -0.24428726E-01      0.00000000E+00     -0.48821446E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.75000000E+00  (qpt 12)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91907617E-02      0.00000000E+00     -0.20734672E-04      0.00000000E+00
       2     -0.15350691E-01      0.00000000E+00     -0.35320782E-04      0.00000000E+00
       3     -0.20848984E-01      0.00000000E+00     -0.50862354E-04      0.00000000E+00
       4     -0.24579277E-01      0.00000000E+00     -0.66511545E-04      0.00000000E+00

# q=  0.00000000E+00  0.75000000E+00  0.00000000E+00  (qpt 13)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.65033882E-02      0.00000000E+00     -0.21682948E-04      0.00000000E+00
       2     -0.99928241E-02      0.00000000E+00     -0.42794825E-04      0.00000000E+00
       3     -0.12854088E-01      0.00000000E+00     -0.63916453E-04      0.00000000E+00
       4     -0.14486190E-01      0.00000000E+00     -0.82177433E-04      0.00000000E+00

# q=  0.00000000E+00  0.75000000E+00  0.25000000E+00  (qpt 14)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94662410E-02      0.00000000E+00     -0.10257860E-04      0.00000000E+00
       2     -0.15213717E-01      0.00000000E+00     -0.18796801E-04      0.00000000E+00
       3     -0.20060619E-01      0.00000000E+00     -0.28353211E-04      0.00000000E+00
       4     -0.23184792E-01      0.00000000E+00     -0.39761762E-04      0.00000000E+00

# q=  0.00000000E+00  0.75000000E+00  0.50000000E+00  (qpt 15)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91376748E-02      0.00000000E+00     -0.20859612E-04      0.00000000E+00
       2     -0.15826105E-01      0.00000000E+00     -0.35942595E-04      0.00000000E+00
       3     -0.20688578E-01      0.00000000E+00     -0.51026048E-04      0.00000000E+00
       4     -0.24579273E-01      0.00000000E+00     -0.66511483E-04      0.00000000E+00

# q=  0.00000000E+00  0.75000000E+00  0.75000000E+00  (qpt 16)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76223841E-02      0.00000000E+00     -0.15714993E-04      0.00000000E+00
       2     -0.12544987E-01      0.00000000E+00     -0.25380350E-04      0.00000000E+00
       3     -0.16369023E-01      0.00000000E+00     -0.35834601E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.47802054E-04      0.00000000E+00

# q=  0.25000000E+00  0.00000000E+00  0.00000000E+00  (qpt 17)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.58980331E-02      0.00000000E+00     -0.21638462E-04      0.00000000E+00
       2     -0.96653724E-02      0.00000000E+00     -0.39022840E-04      0.00000000E+00
       3     -0.12581279E-01      0.00000000E+00     -0.62298800E-04      0.00000000E+00
       4     -0.14486185E-01      0.00000000E+00     -0.82177381E-04      0.00000000E+00

# q=  0.25000000E+00  0.00000000E+00  0.25000000E+00  (qpt 18)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76937561E-02      0.00000000E+00     -0.18639236E-04      0.00000000E+00
       2     -0.12339417E-01      0.00000000E+00     -0.34392256E-04      0.00000000E+00
       3     -0.16337790E-01      0.00000000E+00     -0.59648272E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.80651953E-04      0.00000000E+00

# q=  0.25000000E+00  0.00000000E+00  0.50000000E+00  (qpt 19)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88273422E-02      0.00000000E+00     -0.19822906E-04      0.00000000E+00
       2     -0.14769918E-01      0.00000000E+00     -0.35212404E-04      0.00000000E+00
       3     -0.20874955E-01      0.00000000E+00     -0.50256533E-04      0.00000000E+00
       4     -0.24579274E-01      0.00000000E+00     -0.66511640E-04      0.00000000E+00

# q=  0.25000000E+00  0.00000000E+00  0.75000000E+00  (qpt 20)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92532189E-02      0.00000000E+00     -0.97715065E-05      0.00000000E+00
       2     -0.15547351E-01      0.00000000E+00     -0.18014144E-04      0.00000000E+00
       3     -0.19821757E-01      0.00000000E+00     -0.28244679E-04      0.00000000E+00
       4     -0.23184787E-01      0.00000000E+00     -0.39761780E-04      0.00000000E+00

# q=  0.25000000E+00  0.25000000E+00  0.00000000E+00  (qpt 21)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76516349E-02      0.00000000E+00     -0.18677416E-04      0.00000000E+00
       2     -0.12460099E-01      0.00000000E+00     -0.33600404E-04      0.00000000E+00
       3     -0.16366753E-01      0.00000000E+00     -0.60392938E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.80651948E-04      0.00000000E+00

# q=  0.25000000E+00  0.25000000E+00  0.25000000E+00  (qpt 22)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.63614994E-02      0.00000000E+00     -0.21858877E-04      0.00000000E+00
       2     -0.99902762E-02      0.00000000E+00     -0.43004196E-04      0.00000000E+00
       3     -0.12735102E-01      0.00000000E+00     -0.64367517E-04      0.00000000E+00
       4     -0.14486189E-01      0.00000000E+00     -0.82177452E-04      0.00000000E+00

# q=  0.25000000E+00  0.25000000E+00  0.50000000E+00  (qpt 23)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93715263E-02      0.00000000E+00     -0.20017662E-04      0.00000000E+00
       2     -0.15068925E-01      0.00000000E+00     -0.38376571E-04      0.00000000E+00
       3     -0.19958192E-01      0.00000000E+00     -0.57259333E-04      0.00000000E+00
       4     -0.23184790E-01      0.00000000E+00     -0.76296258E-04      0.00000000E+00

# q=  0.25000000E+00  0.25000000E+00  0.75000000E+00  (qpt 24)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91224288E-02      0.00000000E+00     -0.20797036E-04      0.00000000E+00
       2     -0.15882601E-01      0.00000000E+00     -0.35823676E-04      0.00000000E+00
       3     -0.20878931E-01      0.00000000E+00     -0.50527457E-04      0.00000000E+00
       4     -0.24579274E-01      0.00000000E+00     -0.66511565E-04      0.00000000E+00

# q=  0.25000000E+00  0.50000000E+00  0.00000000E+00  (qpt 25)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89104779E-02      0.00000000E+00     -0.19864849E-04      0.00000000E+00
       2     -0.15026340E-01      0.00000000E+00     -0.34855399E-04      0.00000000E+00
       3     -0.20948468E-01      0.00000000E+00     -0.50147487E-04      0.00000000E+00
       4     -0.24579277E-01      0.00000000E+00     -0.66511630E-04      0.00000000E+00

# q=  0.25000000E+00  0.50000000E+00  0.25000000E+00  (qpt 26)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94797629E-02      0.00000000E+00     -0.20354066E-04      0.00000000E+00
       2     -0.14754662E-01      0.00000000E+00     -0.38584465E-04      0.00000000E+00
       3     -0.20100434E-01      0.00000000E+00     -0.57714169E-04      0.00000000E+00
       4     -0.23184793E-01      0.00000000E+00     -0.76296343E-04      0.00000000E+00

# q=  0.25000000E+00  0.50000000E+00  0.50000000E+00  (qpt 27)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88448870E-02      0.00000000E+00     -0.20890232E-04      0.00000000E+00
       2     -0.15070407E-01      0.00000000E+00     -0.47556238E-04      0.00000000E+00
       3     -0.20994505E-01      0.00000000E+00     -0.71413879E-04      0.00000000E+00
       4     -0.24579276E-01      0.00000000E+00     -0.87173320E-04      0.00000000E+00

# q=  0.25000000E+00  0.50000000E+00  0.75000000E+00  (qpt 28)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.95662571E-02      0.00000000E+00     -0.23822060E-04      0.00000000E+00
       2     -0.15989339E-01      0.00000000E+00     -0.47832675E-04      0.00000000E+00
       3     -0.21282364E-01      0.00000000E+00     -0.77366668E-04      0.00000000E+00
       4     -0.25331083E-01      0.00000000E+00     -0.99586907E-04      0.00000000E+00

# q=  0.25000000E+00  0.75000000E+00  0.00000000E+00  (qpt 29)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93480833E-02      0.00000000E+00     -0.98517363E-05      0.00000000E+00
       2     -0.15355875E-01      0.00000000E+00     -0.18751825E-04      0.00000000E+00
       3     -0.19926987E-01      0.00000000E+00     -0.28203370E-04      0.00000000E+00
       4     -0.23184790E-01      0.00000000E+00     -0.39761597E-04      0.00000000E+00

# q=  0.25000000E+00  0.75000000E+00  0.25000000E+00  (qpt 30)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93077124E-02      0.00000000E+00     -0.20706717E-04      0.00000000E+00
       2     -0.15923255E-01      0.00000000E+00     -0.35261630E-04      0.00000000E+00
       3     -0.20871601E-01      0.00000000E+00     -0.50544622E-04      0.00000000E+00
       4     -0.24579276E-01      0.00000000E+00     -0.66511592E-04      0.00000000E+00

# q=  0.25000000E+00  0.75000000E+00  0.50000000E+00  (qpt 31)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.95163223E-02      0.00000000E+00     -0.24177470E-04      0.00000000E+00
       2     -0.16077029E-01      0.00000000E+00     -0.48071893E-04      0.00000000E+00
       3     -0.21258334E-01      0.00000000E+00     -0.77475567E-04      0.00000000E+00
       4     -0.25331083E-01      0.00000000E+00     -0.99586940E-04      0.00000000E+00

# q=  0.25000000E+00  0.75000000E+00  0.75000000E+00  (qpt 32)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88645456E-02      0.00000000E+00     -0.20607552E-04      0.00000000E+00
       2     -0.15785253E-01      0.00000000E+00     -0.41578350E-04      0.00000000E+00
       3     -0.20751911E-01      0.00000000E+00     -0.69243743E-04      0.00000000E+00
       4     -0.24579272E-01      0.00000000E+00     -0.87173347E-04      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.00000000E+00  (qpt 33)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.55175760E-02      0.00000000E+00     -0.46436098E-04      0.00000000E+00
       2     -0.11250953E-01      0.00000000E+00     -0.75232222E-04      0.00000000E+00
       3     -0.15821681E-01      0.00000000E+00     -0.10203575E-03      0.00000000E+00
       4     -0.19653837E-01      0.00000000E+00     -0.12539805E-03      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.25000000E+00  (qpt 34)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88034125E-02      0.00000000E+00     -0.15989693E-04      0.00000000E+00
       2     -0.15172252E-01      0.00000000E+00     -0.36215521E-04      0.00000000E+00
       3     -0.20685285E-01      0.00000000E+00     -0.50784948E-04      0.00000000E+00
       4     -0.24579272E-01      0.00000000E+00     -0.66958570E-04      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.50000000E+00  (qpt 35)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.79064804E-02      0.00000000E+00     -0.29731069E-04      0.00000000E+00
       2     -0.14532026E-01      0.00000000E+00     -0.52298762E-04      0.00000000E+00
       3     -0.20159476E-01      0.00000000E+00     -0.68761394E-04      0.00000000E+00
       4     -0.24428726E-01      0.00000000E+00     -0.86324872E-04      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.75000000E+00  (qpt 36)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88035632E-02      0.00000000E+00     -0.26923643E-04      0.00000000E+00
       2     -0.15172280E-01      0.00000000E+00     -0.49251219E-04      0.00000000E+00
       3     -0.20684617E-01      0.00000000E+00     -0.66743247E-04      0.00000000E+00
       4     -0.24579272E-01      0.00000000E+00     -0.83977658E-04      0.00000000E+00

# q=  0.50000000E+00  0.25000000E+00  0.00000000E+00  (qpt 37)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89236001E-02      0.00000000E+00     -0.16049847E-04      0.00000000E+00
       2     -0.15639688E-01      0.00000000E+00     -0.36032908E-04      0.00000000E+00
       3     -0.20532591E-01      0.00000000E+00     -0.50771845E-04      0.00000000E+00
       4     -0.24579270E-01      0.00000000E+00     -0.66958574E-04      0.00000000E+00

# q=  0.50000000E+00  0.25000000E+00  0.25000000E+00  (qpt 38)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92437066E-02      0.00000000E+00     -0.19476987E-04      0.00000000E+00
       2     -0.15270655E-01      0.00000000E+00     -0.38344658E-04      0.00000000E+00
       3     -0.19819855E-01      0.00000000E+00     -0.56726497E-04      0.00000000E+00
       4     -0.23184788E-01      0.00000000E+00     -0.76296335E-04      0.00000000E+00

# q=  0.50000000E+00  0.25000000E+00  0.50000000E+00  (qpt 39)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92418096E-02      0.00000000E+00     -0.16263377E-04      0.00000000E+00
       2     -0.15824255E-01      0.00000000E+00     -0.33475933E-04      0.00000000E+00
       3     -0.20709246E-01      0.00000000E+00     -0.49610419E-04      0.00000000E+00
       4     -0.24579274E-01      0.00000000E+00     -0.66958698E-04      0.00000000E+00

# q=  0.50000000E+00  0.25000000E+00  0.75000000E+00  (qpt 40)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94561968E-02      0.00000000E+00     -0.35540082E-04      0.00000000E+00
       2     -0.15369367E-01      0.00000000E+00     -0.60850708E-04      0.00000000E+00
       3     -0.21535877E-01      0.00000000E+00     -0.83885463E-04      0.00000000E+00
       4     -0.25331087E-01      0.00000000E+00     -0.10507692E-03      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.00000000E+00  (qpt 41)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.78665186E-02      0.00000000E+00     -0.28368523E-04      0.00000000E+00
       2     -0.14653918E-01      0.00000000E+00     -0.52025283E-04      0.00000000E+00
       3     -0.20203131E-01      0.00000000E+00     -0.68931468E-04      0.00000000E+00
       4     -0.24428726E-01      0.00000000E+00     -0.86324798E-04      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.25000000E+00  (qpt 42)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91394543E-02      0.00000000E+00     -0.16136996E-04      0.00000000E+00
       2     -0.15334391E-01      0.00000000E+00     -0.33565803E-04      0.00000000E+00
       3     -0.20913671E-01      0.00000000E+00     -0.49637387E-04      0.00000000E+00
       4     -0.24579275E-01      0.00000000E+00     -0.66958668E-04      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.50000000E+00  (qpt 43)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.61325554E-02      0.00000000E+00     -0.43546837E-04      0.00000000E+00
       2     -0.11804258E-01      0.00000000E+00     -0.72354716E-04      0.00000000E+00
       3     -0.16180157E-01      0.00000000E+00     -0.10225442E-03      0.00000000E+00
       4     -0.19653844E-01      0.00000000E+00     -0.12539816E-03      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.75000000E+00  (qpt 44)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91393127E-02      0.00000000E+00     -0.28178154E-04      0.00000000E+00
       2     -0.15334889E-01      0.00000000E+00     -0.48981859E-04      0.00000000E+00
       3     -0.20914448E-01      0.00000000E+00     -0.66374362E-04      0.00000000E+00
       4     -0.24579275E-01      0.00000000E+00     -0.83977341E-04      0.00000000E+00

# q=  0.50000000E+00  0.75000000E+00  0.00000000E+00  (qpt 45)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89239528E-02      0.00000000E+00     -0.27006127E-04      0.00000000E+00
       2     -0.15640180E-01      0.00000000E+00     -0.49751466E-04      0.00000000E+00
       3     -0.20533321E-01      0.00000000E+00     -0.66237855E-04      0.00000000E+00
       4     -0.24579270E-01      0.00000000E+00     -0.83977436E-04      0.00000000E+00

# q=  0.50000000E+00  0.75000000E+00  0.25000000E+00  (qpt 46)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94825599E-02      0.00000000E+00     -0.35703213E-04      0.00000000E+00
       2     -0.15709705E-01      0.00000000E+00     -0.61272807E-04      0.00000000E+00
       3     -0.21355791E-01      0.00000000E+00     -0.83452273E-04      0.00000000E+00
       4     -0.25331085E-01      0.00000000E+00     -0.10507701E-03      0.00000000E+00

# q=  0.50000000E+00  0.75000000E+00  0.50000000E+00  (qpt 47)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92415904E-02      0.00000000E+00     -0.28576112E-04      0.00000000E+00
       2     -0.15824494E-01      0.00000000E+00     -0.49449694E-04      0.00000000E+00
       3     -0.20708832E-01      0.00000000E+00     -0.65845659E-04      0.00000000E+00
       4     -0.24579274E-01      0.00000000E+00     -0.83977413E-04      0.00000000E+00

# q=  0.50000000E+00  0.75000000E+00  0.75000000E+00  (qpt 48)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92437896E-02      0.00000000E+00     -0.97927057E-05      0.00000000E+00
       2     -0.15271059E-01      0.00000000E+00     -0.18780569E-04      0.00000000E+00
       3     -0.19819975E-01      0.00000000E+00     -0.28131536E-04      0.00000000E+00
       4     -0.23184788E-01      0.00000000E+00     -0.39761721E-04      0.00000000E+00

# q=  0.75000000E+00  0.00000000E+00  0.00000000E+00  (qpt 49)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.58982144E-02      0.00000000E+00     -0.22008024E-04      0.00000000E+00
       2     -0.96653841E-02      0.00000000E+00     -0.39890142E-04      0.00000000E+00
       3     -0.12581508E-01      0.00000000E+00     -0.64282297E-04      0.00000000E+00
       4     -0.14486185E-01      0.00000000E+00     -0.82177505E-04      0.00000000E+00

# q=  0.75000000E+00  0.00000000E+00  0.25000000E+00  (qpt 50)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.92537663E-02      0.00000000E+00     -0.10211286E-04      0.00000000E+00
       2     -0.15547359E-01      0.00000000E+00     -0.17671161E-04      0.00000000E+00
       3     -0.19822341E-01      0.00000000E+00     -0.28381942E-04      0.00000000E+00
       4     -0.23184787E-01      0.00000000E+00     -0.39761732E-04      0.00000000E+00

# q=  0.75000000E+00  0.00000000E+00  0.50000000E+00  (qpt 51)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88267696E-02      0.00000000E+00     -0.20584545E-04      0.00000000E+00
       2     -0.14769934E-01      0.00000000E+00     -0.47618918E-04      0.00000000E+00
       3     -0.20874787E-01      0.00000000E+00     -0.70671065E-04      0.00000000E+00
       4     -0.24579274E-01      0.00000000E+00     -0.87173238E-04      0.00000000E+00

# q=  0.75000000E+00  0.00000000E+00  0.75000000E+00  (qpt 52)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76935860E-02      0.00000000E+00     -0.15057183E-04      0.00000000E+00
       2     -0.12339420E-01      0.00000000E+00     -0.25668107E-04      0.00000000E+00
       3     -0.16337853E-01      0.00000000E+00     -0.35892702E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.47802014E-04      0.00000000E+00

# q=  0.75000000E+00  0.25000000E+00  0.00000000E+00  (qpt 53)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93481330E-02      0.00000000E+00     -0.10362067E-04      0.00000000E+00
       2     -0.15355498E-01      0.00000000E+00     -0.17724521E-04      0.00000000E+00
       3     -0.19926255E-01      0.00000000E+00     -0.28341232E-04      0.00000000E+00
       4     -0.23184789E-01      0.00000000E+00     -0.39761617E-04      0.00000000E+00

# q=  0.75000000E+00  0.25000000E+00  0.25000000E+00  (qpt 54)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88648891E-02      0.00000000E+00     -0.19798930E-04      0.00000000E+00
       2     -0.15784771E-01      0.00000000E+00     -0.35233191E-04      0.00000000E+00
       3     -0.20751720E-01      0.00000000E+00     -0.50197316E-04      0.00000000E+00
       4     -0.24579272E-01      0.00000000E+00     -0.66511533E-04      0.00000000E+00

# q=  0.75000000E+00  0.25000000E+00  0.50000000E+00  (qpt 55)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94651592E-02      0.00000000E+00     -0.27020920E-04      0.00000000E+00
       2     -0.15363791E-01      0.00000000E+00     -0.47683804E-04      0.00000000E+00
       3     -0.21525963E-01      0.00000000E+00     -0.78044506E-04      0.00000000E+00
       4     -0.25331087E-01      0.00000000E+00     -0.99586766E-04      0.00000000E+00

# q=  0.75000000E+00  0.25000000E+00  0.75000000E+00  (qpt 56)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93075102E-02      0.00000000E+00     -0.22152017E-04      0.00000000E+00
       2     -0.15922980E-01      0.00000000E+00     -0.41344749E-04      0.00000000E+00
       3     -0.20873037E-01      0.00000000E+00     -0.68600299E-04      0.00000000E+00
       4     -0.24579276E-01      0.00000000E+00     -0.87173095E-04      0.00000000E+00

# q=  0.75000000E+00  0.50000000E+00  0.00000000E+00  (qpt 57)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89104086E-02      0.00000000E+00     -0.21284428E-04      0.00000000E+00
       2     -0.15027076E-01      0.00000000E+00     -0.47570378E-04      0.00000000E+00
       3     -0.20948431E-01      0.00000000E+00     -0.69642741E-04      0.00000000E+00
       4     -0.24579277E-01      0.00000000E+00     -0.87173126E-04      0.00000000E+00

